cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,24,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,41,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,49,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,105,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,108,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,131,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,142,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,128,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,113,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,131,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,128,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,132,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,83,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,75,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,128,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,132,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,130,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,120,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,157,Accidentes
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,1997,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,1998,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2000,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2001,2,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2002,6,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2004,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2005,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2006,2,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2007,0,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2008,6,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2009,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2010,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2011,3,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2012,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2013,6,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2014,2,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2017,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2018,3,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2021,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009438,Víctimas muertas en los accidentes de tránsito,2022,4,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,1997,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,1998,1,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2000,2,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2001,24,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2002,12,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2004,15,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2005,12,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2006,24,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2007,45,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2008,34,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2009,40,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2010,39,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2011,44,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2012,28,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2013,30,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2014,12,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2015,20,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2016,15,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2017,22,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2018,37,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2019,39,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2020,6,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2021,2,Víctimas
17,Morelos,002,Atlatlahucan,6200009439,Víctimas heridas en los accidentes de tránsito,2022,22,Víctimas
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,19,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,13,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,10,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,4,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,8,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,8,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,16,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,16,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,12,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,21,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,148,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,140,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,138,Accidentes
17,Morelos,003,Axochiapan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,127,Accidentes
